ID;Longitude;Latitude;kod.pocztowy;creationDate
340;51.085130;16.907164;55-080;31.08.2020
341;51.086884;16.910385;55-080;02.07.2017
342;50.792255;16.254148;58-304;05.01.2019
343;50.842000;16.494000;58-100;19.04.2018
344;50.848320;16.466116;58-105;23.03.2020
345;50.858944;16.485160;58-100;10.12.2019
346;50.844944;16.483015;58-100;11.09.2019
347;50.864704;16.311636;58-160;21.02.2017
348;50.908000;15.333000;59-850;12.08.2017
349;51.366108;17.466803;56-416;12.01.2021
350;50.764236;16.281887;58-300;22.04.2020
351;50.771820;16.294620;58-300;10.04.2019
352;50.784134;16.285036;58-302;25.08.2020
353;50.766193;16.282711;58-300;07.02.2021
354;50.822754;16.280489;58-316;14.01.2018
355;50.823390;16.276228;58-316;06.02.2019
356;51.562977;16.691975;56-210;24.01.2020
357;51.156567;15.010990;59-900;26.03.2021
358;51.150150;15.005686;59-900;17.07.2018
359;51.150314;15.013933;59-900;10.10.2019
360;51.156520;15.007394;59-900;12.11.2019
361;51.149750;15.008066;59-900;29.08.2018
362;50.940357;16.494999;58-130;25.08.2019
363;51.386585;16.212460;59-300;01.01.2018
364;51.066643;16.989885;53-019;28.01.2019
365;51.126920;17.027906;50-227;13.01.2018
366;51.088234;17.013033;53-317;24.08.2019
367;51.065865;16.989939;53-030;19.09.2017
368;50.682465;16.609018;58-260;05.09.2017
369;51.647510;16.116770;67-200;19.04.2018
370;51.152380;16.932388;54-112;09.06.2017
371;51.147846;17.078835;51-167;16.12.2019
372;51.113693;17.021133;53-659;20.10.2020
373;50.783000;16.033000;58-400;05.03.2020
374;50.738476;16.655580;58-200;29.07.2018
375;51.087486;17.053865;50-505;12.11.2020
376;51.029940;17.334175;55-220;29.11.2018
377;50.773890;15.732425;58-540;10.08.2020
378;51.526623;15.783439;59-170;06.04.2019
379;51.071140;17.091305;52-007;01.01.2019
380;51.081192;17.021835;53-110;14.04.2019
381;51.110070;17.030283;50-106;24.05.2018
382;50.936740;17.297878;55-200;02.01.2018
383;50.682762;16.621044;58-260;26.04.2017
384;50.406690;16.512100;57-320;24.02.2020
385;51.094055;17.015966;53-416;08.12.2019
386;51.081370;17.080202;52-016;05.01.2021
387;51.105938;17.016203;53-601;09.07.2018
388;50.756832;16.204397;58-370;30.09.2019
389;51.097750;17.012335;53-446;04.01.2020
390;50.589085;16.812225;57-200;12.06.2019
391;50.810154;16.247553;58-310;02.08.2017
392;51.099438;17.048370;50-439;22.12.2019
