service_key;service_variant_price
11070;99.00
11080;
11091;40.00
11103;45.00
11114;50.00
11124;18.00
11144;6.00
11156;20.00
11171;99.00
11191;40.00
11203;99.00
11204;99.06
11215;16.00
11226;32.00
11237;25.00
11246;25.00
11256;16.00
11264;
11273;
11284;60.00
11292;15.00
11305;
11314;
11324;
11333;100.00
11350;65.00
11370;85.00
11379;150.00
11389;90.00
11397;25.00
11398;25.00
11399;25.00
11400;30.00
11401;34.00
11402;34.00
11410;35.00
11411;30.00
11412;30.00
11413;51.00
11414;45.00
11415;30.00
11416;10.00
11425;70.00
11434;55.00
11451;7.00
11465;9.00
11474;7.00
11484;12.00
11493;20.00
11504;7.00
11516;7.00
11532;10.00
11551;20.00
11562;15.00
11571;25.00
11586;12.00
11595;10.00
11608;15.00
11619;20.00
11626;35.00
11635;45.00
11645;15.00
11652;25.00
11660;10.00
11672;20.00
11686;25.00
11716;10.00
11731;10.00
11743;130.00
11754;190.00
11771;70.00
11784;30.00
11796;35.00
11797;40.00
11806;25.00
11820;40.00
11829;30.00
11837;30.00
11845;55.00
11853;45.00
11862;10.00
11869;0.01
11876;99.00
11884;30.00
11894;15.00
11901;25.00
11916;35.00
11925;40.00
11937;15.00
11945;45.00
11946;45.00
11954;50.00
11962;15.00
11968;20.00
11982;30.00
11989;99.00
11997;99.00
12008;99.00
12018;99.00
12029;40.00
12053;23.00
12054;23.00
12055;23.00
12056;23.00
12071;
12089;10.00
12106;13.00
12107;15.00
12125;
12141;20.00
12163;99.00
12164;
12165;25.00
12181;30.00
12182;50.00
12194;30.00
12195;45.00
12207;50.00
12220;25.00
12233;45.00
12248;30.00
12262;12.00
12277;15.00
12289;12.00
12307;35.00
12319;35.00
12330;40.00
12343;25.00
12353;25.00
12362;12.00
12371;20.00
12391;50.00
12392;50.00
12409;
12423;30.00
12431;35.00
12439;60.00
12461;50.00
12467;50.00
12475;60.00
12488;
12497;50.00
12506;30.00
12516;25.00
12525;18.00
12538;75.00
12556;10.00
12578;15.00
12597;50.00
12619;15.00
12640;30.00
12662;15.00
12679;15.00
12692;10.00
12709;15.00
12721;25.00
12731;15.00
12750;20.00
12760;30.00
12773;30.00
12864;25.00
12785;12.00
12796;20.00
12806;30.00
12834;35.00
12880;35.00
12908;50.00
12933;12.00
12952;20.00
12965;35.00
12975;25.00
12983;40.00
12990;30.00
12996;30.00
13006;30.00
13012;35.00
13020;50.00
13026;50.00
13071;25.00
13080;15.00
13081;15.00
13082;15.00
13083;13.00
13084;13.00
13085;15.00
13086;13.00
13087;13.00
13088;15.00
13089;13.00
13090;15.00
13091;15.00
13103;15.00
13104;14.00
13105;14.00
13106;15.00
13107;14.00
13115;15.00
13116;15.00
13117;15.00
13118;15.00
13119;15.00
13120;15.00
13121;15.00
13122;15.00
13123;15.00
13124;15.00
13125;15.00
13126;15.00
13139;18.00
13140;18.00
13141;18.00
13142;22.00
13143;22.00
13144;20.00
13145;22.00
13146;22.00
13160;20.00
13161;22.00
13162;22.00
13163;20.00
13164;20.00
13165;19.00
13166;22.00
13167;19.00
13168;22.00
13181;12.00
13182;12.00
13183;12.00
13184;12.00
13195;30.00
13221;25.00
13231;79.00
13241;70.00
13252;89.00
13262;20.00
13271;50.00
13272;150.00
13273;120.00
13274;99.00
13275;250.00
13286;50.00
13287;60.00
13288;120.00
13289;40.00
13290;30.00
13299;150.00
13309;99.99
13310;750.00
13324;52.00
13342;
13343;
13344;
13361;20.00
13362;20.00
13363;23.00
13364;20.00
13365;20.00
13366;25.00
13367;20.00
13368;23.00
13369;18.00
13370;25.00
13371;25.00
13372;20.00
13373;20.00
13374;20.00
13375;25.00
13376;18.00
13385;
13386;20.00
13387;
13388;
13397;14.00
13398;14.00
13399;13.00
13400;14.00
13401;14.00
13402;13.00
13403;14.00
13404;14.00
13405;14.00
13406;14.00
13407;14.00
13408;14.00
13409;14.00
13410;14.00
13411;14.00
13421;
13422;
13432;
13443;10.00
13455;10.00
13465;99.00
13473;99.00
13482;60.00
13491;12.00
13501;20.00
13513;10.00
13526;5.00
13545;40.00
13577;
13604;
13622;
13637;
13647;
13656;
13666;
13682;
13690;40.00
13704;45.00
13714;40.00
13722;15.00
13730;99.00
13736;15.00
13741;12.00
13747;10.00
13773;10.00
13787;11.00
13808;13.00
13823;5.00
13831;16.00
13838;150.00
13846;45.00
13854;20.00
13873;20.00
13882;10.00
13892;30.00
13901;8.00
13910;12.00
13917;20.00
13928;10.00
13945;7.00
13953;25.00
13969;35.00
13982;99.00
14002;50.00
14021;250.00
14038;12.00
14046;8.00
14047;5.00
14048;8.00
14049;5.00
14050;5.00
14051;8.00
14052;8.00
14061;12.00
14062;12.00
14063;12.00
14074;14.00
14081;60.00
14095;60.00
14110;60.00
14123;99.00
14132;150.00
14142;25.00
14152;10.00
14164;
14174;280.00
14192;99.00
14204;40.00
14214;250.00
14231;20.00
14241;25.00
14254;15.00
14266;27.00
14281;40.00
14295;20.00
14310;55.00
14322;10.00
14334;80.00
14344;15.00
14345;15.00
14346;15.00
14347;15.00
14348;15.00
14349;15.00
14350;15.00
14351;15.00
14361;9.00
14362;5.00
14363;9.00
14364;7.00
14365;7.00
14366;7.00
14376;10.00
14377;13.00
14378;13.00
14379;13.00
14380;15.00
14381;13.00
14382;13.00
14383;15.00
14394;20.00
14395;20.00
14396;25.00
14397;25.00
14398;25.00
14399;25.00
14400;25.00
14401;25.00
14402;20.00
14403;25.00
14404;20.00
14442;35.00
14455;39.00
14456;99.00
14469;15.00
14478;22.00
14488;30.00
14498;30.00
14508;25.00
14517;40.00
14526;25.00
14536;65.00
14547;75.00
14558;45.00
14568;30.00
14577;15.00
14588;15.00
14589;15.00
14590;15.00
14591;17.00
14592;15.00
14593;17.00
14594;15.00
14595;15.00
14607;2.00
14608;2.00
14609;2.00
14610;2.00
14631;15.00
14632;10.00
14633;15.00
14634;10.00
14635;13.00
14636;10.00
14637;15.00
14638;13.00
14639;10.00
14640;13.00
14641;8.00
14642;13.00
14643;8.00
14644;8.00
14645;8.00
14646;8.00
14660;14.00
14674;15.00
14686;9.00
14711;9.00
14726;9.00
14737;9.00
14753;18.00
14761;20.00
14769;23.00
14777;10.00
14784;5.00
14791;13.00
14800;15.00
14809;
14821;15.00
14830;15.00
14841;2.00
14850;8.00
14870;20.00
14882;30.00
14901;3.00
14910;
14926;10.00
14940;15.00
14953;20.00
14962;20.00
14970;30.00
14993;18.00
15009;20.00
15023;22.00
15037;43.00
15049;40.00
15059;35.00
15069;15.00
15081;15.00
15093;25.00
15106;35.00
15119;40.00
15131;120.00
15150;99.00
15161;99.00
15177;83.00
15185;110.00
15193;90.00
15203;90.00
15212;75.00
15220;95.00
15229;40.00
15239;60.00
15248;80.00
15262;100.00
15310;35.00
15322;85.00
15334;100.00
15350;45.00
15365;150.00
15375;200.00
15384;55.00
15393;45.00
15403;55.00
15411;80.00
15422;35.00
15436;30.00
15446;30.00
15457;38.00
15465;11.00
15478;30.00
15494;30.00
15507;20.00
15514;200.00
15529;25.00
15541;99.00
15552;250.00
15566;25.00
15587;59.00
15599;35.00
15609;35.00
15622;15.00
15637;50.00
15651;25.00
15662;15.00
15679;25.00
15690;6.00
15703;6.00
15718;45.00
15719;40.00
15720;40.00
15721;68.00
15722;60.00
15737;5.00
15738;5.00
15752;25.00
15764;45.00
15784;35.00
15785;35.00
15796;50.00
15804;35.00
15805;35.00
15812;15.00
15813;15.00
15823;10.00
15824;10.00
15832;10.00
15833;10.00
15844;40.00
15855;20.00
15856;25.00
15867;35.00
15868;35.00
15869;35.00
15881;60.00
15891;60.00
15901;85.00
15915;30.00
15924;30.00
15925;30.00
15926;30.00
15938;50.00
15939;50.00
15955;60.00
15971;30.00
16004;15.00
16025;10.00
16040;20.00
16057;25.00
16058;25.00
16059;25.00
16069;22.00
16070;22.00
16071;25.00
16115;15.00
16080;2.00
16099;12.00
16107;18.00
16123;15.00
16130;30.00
16131;30.00
16140;12.00
16151;10.00
16165;25.00
16166;25.00
16179;20.00
16192;30.00
16204;38.00
16205;40.00
16213;15.00
16220;40.00
16232;45.00
16245;50.00
16258;18.00
16259;20.00
16270;20.00
16283;20.00
16296;30.00
16311;10.00
16319;10.00
16320;6.00
16321;5.00
16330;99.00
16337;200.00
16345;150.00
16355;15.00
16356;15.00
16366;9.00
16367;9.00
16368;10.00
16380;50.00
16381;50.00
16393;30.00
16405;25.00
16406;28.00
16418;60.00
16419;65.00
16427;25.00
16434;40.00
16440;300.00
16448;350.00
16457;50.00
16467;30.00
16474;80.00
16484;100.00
16493;250.00
16500;180.00
16510;280.00
16524;240.00
16533;65.00
16542;75.00
16552;55.00
16563;45.00
16573;45.00
16590;55.00
16600;70.00
16612;75.00
16629;15.00
16643;25.00
16656;25.00
16669;250.00
