business_key,business_id,status,effective_from,effective_till,city
9176918,1596,F,'2020-02-10 03:29:47.965',,Cracow
9176919,1597,S,'2020-02-10 03:29:49.891',,Warsaw
7627091,1598,P,'2018-02-21 00:19:35.242','2018-04-10 23:31:15.436',Orlando
7643536,1598,O,'2018-04-14 22:13:34.245','2018-04-24 23:24:28.255',Orlando
7652884,1598,P,'2018-04-24 23:24:28.255','2018-10-30 22:26:33.809',Warsaw
7881989,1598,P,'2018-10-30 22:32:05.692','2018-11-25 23:24:31.963',Chicago
9661138,1598,R,'2020-08-01 02:00:00.000',,
7607301,1599,T,'2018-02-21 00:25:54.215','2018-06-14 10:03:13.294',Warsaw
7607292,1600,T,'2018-02-21 00:29:01.908','2018-05-15 12:49:48.705',Chicago
7667636,1600,F,'2018-05-15 12:49:48.705','2020-02-10 03:30:39.292',Chicago
