ID,Longitude,Latitude,kod.pocztowy,creationDate,year,geom,miasto,powiat,woj,dzielnica,sklep
148,51.085495,17.004171,53-150,2018-03-12,2018,"51.085495,17.004171",,,województwo dolnośląskie,Borek,
149,51.112305,17.063532,50-364,2018-02-06,2018,"51.112305,17.063532",,,województwo dolnośląskie,Osiedle Plac Grunwaldzki,Żabka
150,51.067795,17.079805,52-112,2021-01-31,2021,"51.067795,17.079805",,,województwo dolnośląskie,Brochów,
151,51.101543,16.999788,53-440,2019-04-27,2019,"51.101543,16.999788",,,województwo dolnośląskie,Gajowice,
152,51.12267,17.051878,50-315,2020-04-25,2020,"51.12267,17.051878",,,województwo dolnośląskie,Ołbin,
153,51.11607,17.058321,50-338,2020-05-08,2020,"51.11607,17.058321",,,województwo dolnośląskie,Osiedle Plac Grunwaldzki,
154,51.07668,17.019978,53-114,2018-04-16,2018,"51.07668,17.019978",,,województwo dolnośląskie,Borek,
155,51.089813,17.04529,50-502,2017-08-09,2017,"51.089813,17.04529",,,województwo dolnośląskie,Osiedle Huby,Żabka
156,51.09049,17.040703,50-520,2019-06-26,2019,"51.09049,17.040703",,,województwo dolnośląskie,Osiedle Huby,
157,51.132626,17.06616,51-163,2017-05-17,2017,"51.132626,17.06616",,,województwo dolnośląskie,Karłowice,
158,51.101223,17.03601,50-006,2017-07-28,2017,"51.101223,17.03601",,,województwo dolnośląskie,Przedmieście Świdnickie,
159,51.14944,17.074171,51-169,2019-11-20,2019,"51.14944,17.074171",,,województwo dolnośląskie,Osiedle Sołtysowice,
160,51.107037,17.01971,53-602,2018-01-22,2018,"51.107037,17.01971",,,województwo dolnośląskie,Przedmieście Świdnickie,
161,51.11989,17.046324,50-319,2020-12-31,2020,"51.11989,17.046324",,,województwo dolnośląskie,Ołbin,
162,51.153343,16.939262,54-107,2019-03-21,2019,"51.153343,16.939262",,,województwo dolnośląskie,Osiedle Maślice,
163,51.10884,17.030018,50-063,2019-11-16,2019,"51.10884,17.030018",,,województwo dolnośląskie,Osiedle Stare Miasto,
164,51.15547,15.015155,59-900,2017-08-03,2017,"51.15547,15.015155",Zgorzelec,powiat zgorzelecki,województwo dolnośląskie,,Żabka
165,51.099827,17.031082,50-022,2018-09-08,2018,"51.099827,17.031082",,,województwo dolnośląskie,Przedmieście Świdnickie,
166,50.85012,16.468533,58-105,2019-12-14,2019,"50.85012,16.468533",Świdnica,powiat świdnicki,województwo dolnośląskie,Osiedle Młodych,Żabka
167,50.89908,14.971099,59-920,2020-04-24,2020,"50.89908,14.971099",Bogatynia,powiat zgorzelecki,województwo dolnośląskie,,
168,51.256187,15.580543,59-700,2018-04-04,2018,"51.256187,15.580543",Bolesławiec,powiat bolesławiecki,województwo dolnośląskie,,
169,51.262,15.565,59-700,2019-07-28,2019,"51.262,15.565",Bolesławiec,powiat bolesławiecki,województwo dolnośląskie,,
170,51.27525,16.713776,56-120,2018-05-09,2018,"51.27525,16.713776",Brzeg Dolny,powiat wołowski,województwo dolnośląskie,,Żabka
171,50.962566,17.390007,55-200,2019-09-05,2019,"50.962566,17.390007",,powiat oławski,województwo dolnośląskie,,
172,51.273,15.937,59-225,2017-02-06,2017,"51.273,15.937",Chojnów,powiat legnicki,województwo dolnośląskie,,
173,51.27,15.94,59-225,2019-08-17,2019,"51.27,15.94",Chojnów,powiat legnicki,województwo dolnośląskie,,
174,50.728767,16.647667,58-200,2020-12-11,2020,"50.728767,16.647667",Dzierżoniów,powiat dzierżoniowski,województwo dolnośląskie,,
175,50.73405,16.642273,58-200,2020-02-27,2020,"50.73405,16.642273",Dzierżoniów,powiat dzierżoniowski,województwo dolnośląskie,,
176,50.73624,16.650318,58-200,2018-12-12,2018,"50.73624,16.650318",Dzierżoniów,powiat dzierżoniowski,województwo dolnośląskie,Nowe Miasto,
177,51.661976,16.077644,67-200,2017-02-13,2017,"51.661976,16.077644",Głogów,powiat głogowski,województwo dolnośląskie,,
178,51.66752,16.078901,67-200,2019-04-16,2019,"51.66752,16.078901",Głogów,powiat głogowski,województwo dolnośląskie,,
179,51.662796,16.082083,67-200,2020-05-16,2020,"51.662796,16.082083",Głogów,powiat głogowski,województwo dolnośląskie,,
180,51.65481,16.094662,67-200,2020-09-24,2020,"51.65481,16.094662",Głogów,powiat głogowski,województwo dolnośląskie,,
181,51.66422,16.08951,67-200,2018-07-30,2018,"51.66422,16.08951",Głogów,powiat głogowski,województwo dolnośląskie,,
